ICDO3,term,synonyms
C00.0,External lip upper,"upper external lip;upper vermillion border;upper lip skin surface"
C00.1,External lip lower,"lower external lip;lower vermillion border;lower lip skin surface"
C00.2,External lip NOS,"external lip (not otherwise specified);outer lip region;lip external area"
C00.3,"Upper lip, mucosa","upper lip mucosal surface;internal upper lip;upper labial mucosa"
C00.4,"Lower lip, mucosa","lower lip mucosal surface;internal lower lip;lower labial mucosa"
C00.5,"Mucosa lip, NOS","lip mucosal surface;lip lining;inner lip surface"
C00.6,Commissure lip,"lip corner;oral commissure;angle of the mouth"
C00.8,Overlapping lesion of lip,"combined lip regions;multiple lip areas;lip intersection sites"
C01.9,"Base of tongue, NOS","tongue base;tongue root;posterior tongue region"
C02.0,"Dorsal surface tongue, NOS","dorsum of tongue;top surface of tongue;superior tongue surface"
C02.1,Border of tongue,"tongue margin;tongue edge;peripheral tongue area"
C02.2,Ventral surface of tongue NOS,"underside of tongue;inferior tongue surface;ventral tongue area"
C02.3,Anterior 2/3 of tongue NOS,"front two-thirds of tongue;anterior tongue region;oral tongue portion"
C02.4,Lingual tonsil,"tongue tonsil;lymphoid tissue of tongue base;lingual lymphatic tissue"
C02.8,Overlapping lesion of tongue,"multiple tongue sites;composite tongue regions;tongue area overlap"
C02.9,Tongue NOS,"tongue (not otherwise specified);entire tongue;lingual structure"
C03.0,Upper gum,"maxillary gingiva;upper gingival tissue;upper gum line"
C03.1,Lower gum,"mandibular gingiva;lower gingival tissue;lower gum line"
C03.9,Gum NOS,"gingiva NOS;oral gum tissue;gingival region"
C04.0,Anterior floor of mouth,"front floor of mouth;anterior oral floor;prelingual floor area"
C04.1,Lateral floor of mouth,"side floor of mouth;lateral oral floor;floor of mouth (side)"
C04.8,Overlapping lesion of floor of mouth,"combined floor mouth sites;floor of mouth multiple areas;overlapping oral floor regions"
C04.9,Floor of mouth NOS,"floor of mouth (not otherwise specified);oral cavity inferior surface;sub-lingual space"
C05.0,Hard palate,"bony palate;anterior palate;hard roof of mouth"
C05.1,"Soft palate NOS (excludes Nasopharyngcal surface C11.3)","velum;soft roof of mouth;posterior palatal area"
C05.2,Uvula,"palatine uvula;uvular process;hangdown of the soft palate"
C05.8,Overlapping lesion of palate,"combined palatal areas;multifocal palate regions;overlapping palate lesions"
C05.9,Palate NOS,"palate (not otherwise specified);roof of mouth;palatal structure"
C06.0,Cheek mucosa,"buccal mucosa;inner cheek lining;cheek oral mucosal surface"
C06.1,Vestibule of mouth,"oral vestibule;mouth vestibular space;area between lips and teeth"
C06.2,Retromolar area,"area behind molars;retromolar trigone;posterior mandibular alveolar region"
C06.8,Overlapping lesion of other and unspecified parts of mouth,"multiple oral sites;combined oral areas;overlapping mouth regions"
C06.9,Mouth NOS,"oral cavity (not otherwise specified);mouth region;buccal/oral space"
C07.9,Parotid gland,"salivary gland (parotid);largest salivary gland;parotid region"
C08.0,Submaxillary gland,"submandibular gland;submaxillary salivary gland;submaxillary node"
C08.1,Sublingual gland,"salivary gland under tongue;sublingual salivary gland;floor-of-mouth gland"
C08.8,Overlapping lesion of major salivary glands,"multiple major salivary glands;combined salivary regions;overlapping gland sites"
C08.9,"Major salivary gland, NOS","unspecified major salivary gland;large salivary gland NOS;principal salivary organ"
C09.0,Tonsillar fossa,"tonsillar bed;fossa of tonsil;tonsillar recess"
C09.1,Tonsillar pillar,"palatine pillar;tonsillar arch;fold near tonsil"
C09.8,Overlapping lesion of tonsil,"multiple tonsillar sites;overlapping tonsil regions;combined tonsil areas"
C09.9,"Tonsil NOS (excludes Lingual tonsil C02.4 and Pharyngeal tonsil C11.1)","palatine tonsil (not otherwise specified);tonsillar tissue;tonsil region"
C10.0,Vallecula,"vallecular space;depression at tongue base;vallecula epiglottica"
C10.1,Anterior surface of epiglottis,"front epiglottic surface;anterior epiglottic area;ventral side of epiglottis"
C10.2,Lateral wall oropharynx,"oropharyngeal lateral wall;side wall of oropharynx;pharyngeal lateral aspect"
C10.3,Posterior wall oropharynx,"back wall of oropharynx;posterior pharyngeal surface;rear oropharyngeal wall"
C10.4,Branchial cleft (site of neoplasm),"branchial apparatus remnant;pharyngeal cleft;branchial cleft region"
C10.8,Overlapping lesion of oropharynx,"multiple oropharyngeal sites;combined oropharynx areas;overlapping throat regions"
C10.9,Oropharynx NOS,"middle pharynx NOS;oropharyngeal cavity;pharyngeal midsection"
C11.0,Superior wall of nasopharynx,"top wall nasopharynx;superior pharyngeal roof;upper nasopharyngeal area"
C11.1,Posterior wall nasopharynx,"back wall of nasopharynx;posterior nasopharyngeal region;nasopharyngeal rear aspect"
C11.2,Lateral wall nasopharynx,"side wall of nasopharynx;lateral nasopharyngeal area;nasopharynx lateral aspect"
C11.3,Anterior wall nasopharynx,"front wall nasopharynx;anterior nasopharyngeal region;nasopharynx frontal aspect"
C11.8,Overlapping lesion of nasopharynx,"multiple nasopharyngeal sites;combined nasopharynx areas;overlapping nasopharynx lesions"
C11.9,Nasopharynx NOS,"nasopharyngeal region NOS;upper pharynx region;post-nasal space"
C12.9,Pyriform sinus,"piriform fossa;laryngopharyngeal recess;hypopharyngeal sinus"
C13.0,Postcricoid region,"area behind cricoid cartilage;post-cricoid space;pharyngoesophageal region"
C13.1,Hypopharyngeal aspect of aryepiglottic fold,"aryepiglottic fold in hypopharynx;aryepiglottic margin;fold near epiglottis"
C13.2,Posterior wall hypopharynx,"back wall of hypopharynx;posterior hypopharyngeal surface;rear hypopharynx"
C13.8,Overlapping lesion of hypopharynx,"multiple hypopharyngeal sites;combined hypopharynx areas;overlapping hypopharyngeal regions"
C13.9,"Hypopharynx, NOS","inferior pharynx NOS;lower pharyngeal region;hypopharyngeal area unspecified"
C14.0,Pharynx NOS,"throat NOS;pharyngeal cavity;pharynx region"
C14.2,Waldeyer's ring,"pharyngeal lymphoid ring;tonsillar ring;lymphatic tissue ring in throat"
C14.8,"Overlapping lesion of lip, oral cavity and pharynx","combined lip-oral-pharyngeal regions;multi-site head & neck overlap;overlapping oral and pharyngeal areas"
C15.0,Cervical esophagus,"neck esophagus;upper esophagus;cervical segment of esophagus"
C15.1,Thoracic esophagus,"chest esophagus;middle esophageal portion;thoracic segment of esophagus"
C15.2,Abdominal esophagus,"lower esophageal segment;distal esophagus;abdominal portion of esophagus"
C15.3,Upper third of esophagus,"proximal esophagus;upper esophageal portion;superior third of esophagus"
C15.4,Middle third of esophagus,"mid esophagus;central esophageal region;middle segment of esophagus"
C15.5,Esophagus lower third,"distal esophageal portion;inferior third of esophagus;lower esophagus"
C15.8,Overlapping lesion of esophagus,"multiple esophageal segments;combined esophageal sites;overlapping esophageal regions"
